Computerkey,PrincipalNm,ModelNm,DisplayNm,MediaTypeDesc,DeviceId,PhysicalDiskNm,PhysicalDiskSizeNbr,DiskID
1332,STRVW5312.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,23
1332,STRVW5312.odd.svc.company.com,HP LOGICAL VOLUME SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,1430721,24
1406,BG6RS2101.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,25
1406,BG6RS2101.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,61436,26
1589,VRTVW0550.odd.svc.company.com,Dell Virtual  Floppy USB Device,PHYSICALDRIVE2,,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,NULL,27
1589,VRTVW0550.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,28
1644,CTCVD6812.odd.svc.company.com,XENSRC PVDISK SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,29
1644,CTCVD6812.odd.svc.company.com,HP P2000 G3 FC  Multi-Path Disk Device,PHYSICALDRIVE6,Fixed hard disk media,\\.\PHYSICALDRIVE6,\\.\PHYSICALDRIVE6,95362,30
1644,CTCVD6812.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE5,Fixed hard disk media,\\.\PHYSICALDRIVE5,\\.\PHYSICALDRIVE5,1080316,31
1644,CTCVD6812.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,127994,32
1644,CTCVD6812.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,52289,33
1646,BG6RS2102.odd.svc.company.com,RHEL DISK SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,34
1646,BG6RS2102.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,61436,35
1858,STRDS5102.odd.svc.company.com,Dell Virtual  Floppy USB Device,PHYSICALDRIVE1,,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,NULL,36
1858,STRDS5102.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,10236,37
